🕘️更新时间,#genre#
2025-08-01 14:21:50,http://qjrhc.jydjd.top:2911/udp/225.1.101.138:11111

📺央视频道,#genre#
CCTV-1,http://qjrhc.jydjd.top:2911/udp/225.1.101.138:11111
CCTV-1,http://124.235.225.122:2284/mgtv/608807420.m3u8
CCTV-2,http://qjrhc.jydjd.top:2911/udp/225.1.101.26:7523
CCTV-2,http://124.235.225.122:2284/mgtv/631780532.m3u8
CCTV-3,http://124.235.225.122:2284/mgtv/624878271.m3u8
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-4,http://qjrhc.jydjd.top:2911/udp/225.1.101.52:7523
CCTV-4,http://124.235.225.122:2284/mgtv/631780421.m3u8
CCTV-5,http://omnix.cn:4000/udp/225.1.8.89:8000
CCTV-5,http://qjrhc.jydjd.top:2911/udp/225.1.101.187:7523
CCTV-5,http://qjrhc.jydjd.top:2911/udp/224.1.100.82:11111
CCTV-5,http://124.235.225.122:2284/mgtv/641886683.m3u8
CCTV-5+,http://qjrhc.jydjd.top:2911/udp/225.1.101.124:7523
CCTV-5+,http://124.235.225.122:2284/mgtv/641886773.m3u8
CCTV-6,http://qjrhc.jydjd.top:2911/udp/225.1.101.94:7523
CCTV-6,http://124.235.225.122:2284/mgtv/624878396.m3u8
CCTV-7,http://omnix.cn:4000/udp/225.1.8.7:8104
CCTV-7,http://qjrhc.jydjd.top:2911/udp/225.1.101.27:7523
CCTV-7,http://124.235.225.122:2284/mgtv/673168121.m3u8
CCTV-8,http://qjrhc.jydjd.top:2911/udp/225.1.101.98:7523
CCTV-8,http://124.235.225.122:2284/mgtv/624878356.m3u8
CCTV-9,http://qjrhc.jydjd.top:2911/udp/225.1.101.28:7523
CCTV-9,http://124.235.225.122:2284/mgtv/673168140.m3u8
CCTV-10,http://qjrhc.jydjd.top:2911/udp/225.1.101.30:7523
CCTV-10,http://124.235.225.122:2284/mgtv/624878405.m3u8
CCTV-11,http://qjrhc.jydjd.top:2911/udp/225.1.101.100:7523
CCTV-11,http://124.235.225.122:2284/mgtv/667987558.m3u8
CCTV-12,http://124.235.225.122:2284/mgtv/673168185.m3u8
CCTV-13,http://qjrhc.jydjd.top:2911/udp/225.1.101.125:7523
CCTV-13,http://124.235.225.122:2284/mgtv/608807423.m3u8
CCTV-14,http://qjrhc.jydjd.top:2911/udp/225.1.101.34:7523
CCTV-14,http://124.235.225.122:2284/mgtv/624878440.m3u8
CCTV-15,http://qjrhc.jydjd.top:2911/udp/225.1.101.160:7523
CCTV-15,http://124.235.225.122:2284/mgtv/673168223.m3u8
CCTV-16,http://124.235.225.122:2284/nptv/cctv16.m3u8
CCTV-16,http://qjrhc.jydjd.top:2911/udp/225.1.101.133:7523
CCTV-17,http://qjrhc.jydjd.top:2911/udp/225.1.101.161:7523
CCTV-17,http://124.235.225.122:2284/mgtv/673168256.m3u8

💰央视付费频道,#genre#
风云音乐,http://dassby.qqff.top:99/live/风云音乐/index.m3u8
风云音乐,rtsp://115.153.245.70/PLTV/88888888/224/3221226994/86128897.smil
风云音乐,rtsp://115.153.247.80/PLTV/88888888/224/3221226994/86128897.smil
风云音乐,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226994/86128897.smil
风云剧场,http://dassby.qqff.top:99/live/风云剧场/index.m3u8
风云剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221226963/86128874.smil
风云剧场,rtsp://115.153.247.80/PLTV/88888888/224/3221226963/86128874.smil
风云剧场,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226963/86128874.smil
风云剧场,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000409?AuthInfo=xxx&userid=gf001&userid=gf001
怀旧剧场,http://dassby.qqff.top:99/live/怀旧剧场/index.m3u8
怀旧剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221226996/86128881.smil
怀旧剧场,rtsp://115.153.247.80/PLTV/88888888/224/3221226996/86128881.smil
怀旧剧场,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226996/86128881.smil
女性时尚,http://dassby.qqff.top:99/live/女性时尚/index.m3u8
高尔夫网球,rtsp://115.153.245.70/PLTV/88888888/224/3221226967/86128985.smil
高尔夫网球,rtsp://115.153.247.80/PLTV/88888888/224/3221226967/86128985.smil
高尔夫网球,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226967/86128985.smil
电视指南,rtsp://115.153.245.70/PLTV/88888888/224/3221226969/86129034.smil
电视指南,rtsp://115.153.247.80/PLTV/88888888/224/3221226969/86129034.smil
电视指南,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226969/86129034.smil
兵器科技,rtsp://115.153.245.70/PLTV/88888888/224/3221227004/86132185.smil
兵器科技,rtsp://115.153.247.80/PLTV/88888888/224/3221227004/86132185.smil
兵器科技,rtsp://115.153.222.112:554/PLTV/88888888/224/3221227004/86132185.smil

📡卫视频道,#genre#
广东卫视,http://satellitepull.cnr.cn/live/wxgdws/playlist.m3u8
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
湖北卫视,http://www.745612.xyz:7788/rtp/235.254.198.72:1564
东南卫视,http://satellitepull.cnr.cn/live/wx32fjws/playlist.m3u8
甘肃卫视,http://satellitepull.cnr.cn/live/wxgsws/playlist.m3u8
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://satellitepull.cnr.cn/live/wxhnws/playlist.m3u8
吉林卫视,http://satellitepull.cnr.cn/live/wxjlws/playlist.m3u8
山东卫视,http://satellitepull.cnr.cn/live/wxsdws/playlist.m3u8

☘️北京频道,#genre#
北京新闻,https://satellitepull.cnr.cn/live/wxbjxwgb/playlist.m3u8
北京生活,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv7_1/index.m3u8?adapt=0&BR=audio
北京科教,http://player.cntv.cn/standard/live_HLSDRM20180606.swf?ChannelID=btv3&P2PChannelID=pd://cctv_p2p_hdbtv3
北京青年,http://player.cntv.cn/standard/live_HLSDRM20180919.swf?v=180.171.5.8.9.6.3.9&ChannelID=btv8&videoTVChannel=btv8&P2PChannelID=pd://cctv_p2p_hdbtv8&tai=btv8&VideoName=btv8&channelID=btv8

☘️山西频道,#genre#

🌊港·澳·台,#genre#
翡翠台,https://cdn.iptv8k.top/dl/jrys.php?id=3&time=20240926215313&ip=111.229.253.40
翡翠台,http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv
明珠台,http://120.198.101.106:9901/tsfile/live/1008_1.m3u8?key=txiptv
明珠台,http://122.152.202.33/s/81a8a44f/index.m3u8?id=23
凤凰中文,https://cdn.iptv8k.top/dl/jrys.php?id=19&time=20240926215313&ip=111.229.253.40
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_audio.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_audio.m3u8
凤凰香港,https://cdn.iptv8k.top/dl/jrys.php?id=18&time=20240926215313&ip=111.229.253.40
纬来体育,https://cdn.iptv8k.top/dl/jrys.php?id=292&time=20240926215313&ip=111.229.253.40
纬来体育,https://cdn.iptv8k.top/dl/jrys.php?id=291&time=20240926215313&ip=111.229.253.40
纬来育乐,https://cdn.iptv8k.top/dl/jrys.php?id=289&time=20240926215313&ip=111.229.253.40
